"dates";"iata"
"2017-01-01";672
"2017-01-02";672
"2017-01-03";670
"2017-01-04";675
"2017-01-05";674
"2017-01-06";675
"2017-01-07";668
"2017-01-08";668
"2017-01-09";668
"2017-01-10";668
"2017-01-11";668
"2017-01-12";670
"2017-01-13";678
"2017-01-14";672
"2017-01-15";672
"2017-01-16";672
"2017-01-17";660
"2017-01-18";661
"2017-01-19";661
"2017-01-20";659
"2017-01-21";663
"2017-01-22";663
"2017-01-23";663
"2017-01-24";670
"2017-01-25";658
"2017-01-26";653
"2017-01-27";652
"2017-01-28";651
"2017-01-29";651
"2017-01-30";651
"2017-01-31";658
"2017-02-01";649
"2017-02-02";648
"2017-02-03";650
"2017-02-04";645
"2017-02-05";645
"2017-02-06";645
"2017-02-07";649
"2017-02-08";641
"2017-02-09";644
"2017-02-10";647
"2017-02-11";648
"2017-02-12";648
"2017-02-13";648
"2017-02-14";640
"2017-02-15";649
"2017-02-16";642
"2017-02-17";641
"2017-02-18";643
"2017-02-19";643
"2017-02-20";643
"2017-02-21";645
"2017-02-22";644
"2017-02-23";643
"2017-02-24";643
"2017-02-25";646
"2017-02-26";646
"2017-02-27";646
"2017-02-28";647
"2017-03-01";648
"2017-03-02";648
"2017-03-03";651
"2017-03-04";653
"2017-03-05";653
"2017-03-06";653
"2017-03-07";660
"2017-03-08";662
"2017-03-09";661
"2017-03-10";667
"2017-03-11";668
"2017-03-12";668
"2017-03-13";668
"2017-03-14";664
"2017-03-15";666
"2017-03-16";668
"2017-03-17";670
"2017-03-18";665
"2017-03-19";665
"2017-03-20";665
"2017-03-21";663
"2017-03-22";664
"2017-03-23";660
"2017-03-24";661
"2017-03-25";662
"2017-03-26";662
"2017-03-27";662
"2017-03-28";660
"2017-03-29";662
"2017-03-30";666
"2017-03-31";672
"2017-04-01";670
"2017-04-02";670
"2017-04-03";670
"2017-04-04";660
"2017-04-05";668
"2017-04-06";666
"2017-04-07";663
"2017-04-08";665
"2017-04-09";665
"2017-04-10";665
"2017-04-11";657
"2017-04-12";656
"2017-04-13";653
"2017-04-14";655
"2017-04-15";652
"2017-04-16";652
"2017-04-17";652
"2017-04-18";650
"2017-04-19";653
"2017-04-20";656
"2017-04-21";650
"2017-04-22";649
"2017-04-23";649
"2017-04-24";649
"2017-04-25";654
"2017-04-26";654
"2017-04-27";659
"2017-04-28";664
"2017-04-29";667
"2017-04-30";667
"2017-05-01";667
"2017-05-02";668
"2017-05-03";667
"2017-05-04";671
"2017-05-05";673
"2017-05-06";676
"2017-05-07";676
"2017-05-08";676
"2017-05-09";672
"2017-05-10";677
"2017-05-11";681
"2017-05-12";677
"2017-05-13";681
"2017-05-14";681
"2017-05-15";681
"2017-05-16";673
"2017-05-17";675
"2017-05-18";668
"2017-05-19";668
"2017-05-20";674
"2017-05-21";674
"2017-05-22";674
"2017-05-23";669
"2017-05-24";670
"2017-05-25";676
"2017-05-26";681
"2017-05-27";674
"2017-05-28";674
"2017-05-29";674
"2017-05-30";673
"2017-05-31";680
"2017-06-01";683
"2017-06-02";678
"2017-06-03";674
"2017-06-04";674
"2017-06-05";674
"2017-06-06";671
"2017-06-07";670
"2017-06-08";675
"2017-06-09";675
"2017-06-10";667
"2017-06-11";667
"2017-06-12";667
"2017-06-13";664
"2017-06-14";669
"2017-06-15";669
"2017-06-16";661
"2017-06-17";664
"2017-06-18";664
"2017-06-19";664
"2017-06-20";666
"2017-06-21";666
"2017-06-22";664
"2017-06-23";668
"2017-06-24";665
"2017-06-25";665
"2017-06-26";665
"2017-06-27";675
"2017-06-28";667
"2017-06-29";669
"2017-06-30";664
"2017-07-01";669
"2017-07-02";669
"2017-07-03";669
"2017-07-04";664
"2017-07-05";670
"2017-07-06";665
"2017-07-07";665
"2017-07-08";667
"2017-07-09";667
"2017-07-10";667
"2017-07-11";668
"2017-07-12";672
"2017-07-13";673
"2017-07-14";671
"2017-07-15";663
"2017-07-16";663
"2017-07-17";663
"2017-07-18";667
"2017-07-19";663
"2017-07-20";659
"2017-07-21";655
"2017-07-22";655
"2017-07-23";655
"2017-07-24";655
"2017-07-25";652
"2017-07-26";656
"2017-07-27";651
"2017-07-28";650
"2017-07-29";652
"2017-07-30";652
"2017-07-31";652
"2017-08-01";654
"2017-08-02";653
"2017-08-03";656
"2017-08-04";657
"2017-08-05";651
"2017-08-06";651
"2017-08-07";651
"2017-08-08";651
"2017-08-09";652
"2017-08-10";656
"2017-08-11";650
"2017-08-12";652
"2017-08-13";652
"2017-08-14";652
"2017-08-15";647
"2017-08-16";652
"2017-08-17";651
"2017-08-18";648
"2017-08-19";651
"2017-08-20";651
"2017-08-21";651
"2017-08-22";647
"2017-08-23";648
"2017-08-24";648
"2017-08-25";641
"2017-08-26";639
"2017-08-27";639
"2017-08-28";639
"2017-08-29";633
"2017-08-30";632
"2017-08-31";628
"2017-09-01";629
"2017-09-02";630
"2017-09-03";630
"2017-09-04";630
"2017-09-05";626
"2017-09-06";626
"2017-09-07";629
"2017-09-08";627
"2017-09-09";625
"2017-09-10";625
"2017-09-11";625
"2017-09-12";621
"2017-09-13";624
"2017-09-14";628
"2017-09-15";625
"2017-09-16";626
"2017-09-17";626
"2017-09-18";626
"2017-09-19";630
"2017-09-20";627
"2017-09-21";631
"2017-09-22";624
"2017-09-23";624
"2017-09-24";624
"2017-09-25";624
"2017-09-26";631
"2017-09-27";633
"2017-09-28";633
"2017-09-29";638
"2017-09-30";642
"2017-10-01";642
"2017-10-02";642
"2017-10-03";641
"2017-10-04";643
"2017-10-05";639
"2017-10-06";633
"2017-10-07";637
"2017-10-08";637
"2017-10-09";637
"2017-10-10";634
"2017-10-11";637
"2017-10-12";635
"2017-10-13";629
"2017-10-14";632
"2017-10-15";632
"2017-10-16";632
"2017-10-17";624
"2017-10-18";622
"2017-10-19";629
"2017-10-20";628
"2017-10-21";629
"2017-10-22";629
"2017-10-23";629
"2017-10-24";629
"2017-10-25";636
"2017-10-26";636
"2017-10-27";632
"2017-10-28";637
"2017-10-29";637
"2017-10-30";637
"2017-10-31";636
"2017-11-01";637
"2017-11-02";641
"2017-11-03";637
"2017-11-04";634
"2017-11-05";634
"2017-11-06";634
"2017-11-07";633
"2017-11-08";634
"2017-11-09";634
"2017-11-10";633
"2017-11-11";633
"2017-11-12";633
"2017-11-13";633
"2017-11-14";642
"2017-11-15";632
"2017-11-16";631
"2017-11-17";634
"2017-11-18";632
"2017-11-19";632
"2017-11-20";632
"2017-11-21";627
"2017-11-22";638
"2017-11-23";636
"2017-11-24";636
"2017-11-25";635
"2017-11-26";635
"2017-11-27";635
"2017-11-28";635
"2017-11-29";640
"2017-11-30";643
"2017-12-01";643
"2017-12-02";646
"2017-12-03";646
"2017-12-04";646
"2017-12-05";655
"2017-12-06";649
"2017-12-07";651
"2017-12-08";654
"2017-12-09";655
"2017-12-10";655
"2017-12-11";655
"2017-12-12";656
"2017-12-13";656
"2017-12-14";656
"2017-12-15";654
"2017-12-16";646
"2017-12-17";646
"2017-12-18";646
"2017-12-19";637
"2017-12-20";633
"2017-12-21";622
"2017-12-22";623
"2017-12-23";621
"2017-12-24";621
"2017-12-25";621
"2017-12-26";623
"2017-12-27";622
"2017-12-28";623
"2017-12-29";618
"2017-12-30";616
"2017-12-31";616
"2018-01-01";616
"2018-01-02";616
"2018-01-03";618
"2018-01-04";612
"2018-01-05";607
"2018-01-06";606
"2018-01-07";606
"2018-01-08";606
"2018-01-09";606
"2018-01-10";607
"2018-01-11";607
"2018-01-12";609
"2018-01-13";608
"2018-01-14";608
"2018-01-15";608
"2018-01-16";604
"2018-01-17";604
"2018-01-18";606
"2018-01-19";607
"2018-01-20";606
"2018-01-21";606
"2018-01-22";606
"2018-01-23";609
"2018-01-24";607
"2018-01-25";607
"2018-01-26";607
"2018-01-27";602
"2018-01-28";602
"2018-01-29";602
"2018-01-30";603
"2018-01-31";605
"2018-02-01";605
"2018-02-02";605
"2018-02-03";601
"2018-02-04";601
"2018-02-05";601
"2018-02-06";603
"2018-02-07";603
"2018-02-08";602
"2018-02-09";599
"2018-02-10";601
"2018-02-11";601
"2018-02-12";601
"2018-02-13";605
"2018-02-14";602
"2018-02-15";598
"2018-02-16";597
"2018-02-17";594
"2018-02-18";594
"2018-02-19";594
"2018-02-20";594
"2018-02-21";596
"2018-02-22";595
"2018-02-23";596
"2018-02-24";595
"2018-02-25";595
"2018-02-26";595
"2018-02-27";591
"2018-02-28";590
"2018-03-01";590
"2018-03-02";593
"2018-03-03";596
"2018-03-04";596
"2018-03-05";596
"2018-03-06";599
"2018-03-07";600
"2018-03-08";599
"2018-03-09";602
"2018-03-10";605
"2018-03-11";605
